author,title,controlno,call_no
"Cassandras, Christos G",Introduction to discrete event systems,000001591127,003 008a
"Meadows, Donella H",Thinking in systems : a primer,000001614060,003 008b
"Cha, Philip D",MATLAB 신호 및 시스템,000001123658,003 008가
"Pyka, Andreas",Innovation networks : new approaches in modelling and analyzing,000001606775,003 009a
"Checkland, Peter",Soft systems methodology : a 30-year retrospective,000002028462,003 009b
"Whitten, Jeffrey L",시스템 분석 및 설계,000000228563,003 009가
"Newman, M. E. J. (Mark E. J.)",Networks : an introduction,000001720590,003 010a
"Bourles, Henri",Linear systems,000001724781,003 010b
"Newman, M. E. J. (Mark E. J.)",Networks : an introduction,000001616907,003 010b
"Dorogovtsev, Sergey N",Lectures on complex networks,000001621872,003 010c
"Cohen, Reuven","Complex networks : structure, robustness, and function",000001622909,003 010d
정철환,SI project 전문가로 가는 길,000000769080,003 010가
"Derman, Emanuel","Models behaving badly : why confusing illusion with reality can lead to disaster, on Wall Street and in life",000001628464,003 011a
"Horvath, Steve",Weighted network analysis : application in genomics and systems biology,000001878438,003 011b
"Estrada, Ernesto",The structure of complex networks : theory and applications,000001635634,003 012a
"Crabtree, Andrew",Doing design ethnography,000001638259,003 012b
"Simonsen, Jesper",Routledge international handbook of participatory design,000001646134,003 013a
"Dennis, Lynnclaire","The mereon matrix : unity, perspective, and paradox",000001675723,003 013b
"Arnold, Darrell (Darrell P.)",Traditions of systems theory : major figures and contemporary developments,000001662012,003 014a
"Mobus, George E",Principles of systems science,000001741708,003 015a
"Rouse, William B","Modeling and visualization of complex systems and enterprises : explorations of physical, human, economic, and social phenomena",000001750858,003 015b
"Commendatore, Pasquale",Complex networks and dynamics : social and economic interactions,000001812401,003 016a
증전직기 增田直紀,A guide to temporal networks,000001819585,003 016b
성민기,시스템주의자 : 세상의 비밀을 간파하는 21세기형 인재 계발서,000001835539,003 016가
"Latora, Vito","Complex networks : principles, methods and applications",000001880737,003 017a
성민기,시스템주의자 : 세상의 비밀을 간파하는 21세기형 인재 계발서,000001844977,003 017가
"Miller, John H. (John Howard)",전체를 보는 방법,000001874162,003 017가
"Miller, John H. (John Howard)",전체를 보는 방법,000001879576,003 017갸
"Crane, Harry",Probabilistic foundations of statistical network analysis,000001900490,003 018a
"Newman, M. E. J. (Mark E. J.)",Networks,000001920699,003 018b
"Thurner, Stefan",Introduction to the theory of complex systems,000001932005,003 018c
"Saviâc, Miloés","Complex networks in software, knowledge, and social systems",000001935088,003 018d
"Biagini, Francesca",Network Science : an aerial view,000001983158,003 019a
"Bianconi, Ginestra",Multilayer networks : structure and function,000001989170,003 019b
"Meadows, Donella H",(ESG와 세상을 읽는) 시스템 법칙 : 모든 것은 시스템으로 통한다,000002113853,003 022가
"Meadows, Donella H",(ESG와 세상을 읽는) 시스템 법칙 : 모든 것은 시스템으로 통한다,000002122493,003 022가
"Milsum, John H",Positive feedback : a general systems approach to positive/negative feedback and mutual causality,000001370652,003 68a
"Huggins, W. H. (William H.)",Introductory systems and design,000001369751,003 68b
"Bertalanffy, Ludwig von","General system theory : foundations, development, applications",000001377662,003 68c
"Klir, George J.",An approach to general systems theory,000001376091,003 69a
"Bertalanffy, Ludwig von","General system theory : foundations, development, applications",000001560178,003 73a
"Laszlo, Ervin",Introduction to systems philosophy : toward a new paradigm of contemporary thought,000001802678,003 73b 
"Bennett, Archie Wayne",Introduction to computer simulation,000001547834,003 74a
"Sutherland, John W","Systems : analysis, administration, and architecture",000001568746,003 75a
"Oppenheim, Alan V.",Signals and systems,000001681038,003 83a
"Oppenheim, Alan V.",Signals and systems,000001370255,003 83a
"Ardema, M. D",Singular perturbations in systems and control,000001377652,003 83b
"Haken, H","Synergetics : an introduction : nonequilibrium phase transitions and self-organization in physics, chemistry, and biology",000001373799,003 83c
"Haken, H",Advanced synergetics : instability hierarchies of self-organizing systems and devices,000001377654,003 83d
"Sinha, N. K. (Naresh Kumar)",Modeling and identification of dynamic systems,000001370585,003 83f
"Helmer, Olaf",Looking forward : a guide to futures research,000001366274,003 83g
"Söderström, Torsten",Instrumental variable methods for system identification,000001377494,003 83h
"Bronson, Richard",Schaum's outline of theory and problems of operations research,000001416889,003 83i
"Senn, James A",Analysis and design of information systems,000001374132,003 84a
"Balakrishnan, A. V",Kalman filtering theory,000001380565,003 84b
"Weiss, Sholom M",A practical guide to designing expert systems,000001380564,003 84c
"Chen, Chi-Tsong",Linear system theory and design,000001373471,003 84d
"Mayhan, Robert J",Discrete-time and continuous-time linear systems,000001376334,003 84e
"Gelfand, Alan E.",Ensemble modeling : inference from small-scale properties to large-scale systems,000001387728,003 84g
"Goodwin, Graham C. (Graham Clifford)",Adaptive filtering prediction and control,000001415594,003 84i
"Neff, Herbert P.",Continuous and discrete linear systems,000001547919,003 84j
Reliability and Maintainability Symposium,"1985 proceedings annual reliability and maintainability symposium, Philadelphia, Pennsylvania USA, 1985 January 22-24",000001552201,003 85a
"Cadzow, James A","Signals, systems, and transforms",000001552236,003 85b
"IFIP TC2 Conference on System Description Methodologies (1983 : Kecskemét, Hungary)","System description methodologies : proceedings of the IFIP TC2 Conference on System Description Methodologies, Kecskemét, Hungary, 23-27 May, 1983",000001488504,003 85c
"Miser, Hugh J","Handbook of systems analysis : overview of uses, procedures, applications, and practice",000001498159,003 85d
"Hetzel, William C.",Computer information systems development : principles and case study,000001368596,003 85e
Workshop on the Dynamics of Macrosystems (1984 : International Institute for Applied Systems Analysis),"Dynamics of macrosystems : proceedings of a Workshop on the Dynamics of Macrosystems held at the International Institute for Applied Systems Analysis (IIASA), Laxenburg, Austria, September 3-7, 1984",000001384431,003 85f
"Sorenson, H. W.",Kalman filtering : theory and application,000001442461,003 85g
"Adams, David R. (David Robert)",Computer information systems development : design and implementation : instructor's manual,000001544401,003 85h
원호준,구조적분석,000000953636,003 85거 
원호준,구조적설계,000000953637,003 85겨 
"Cox, Brad J.",Object-oriented programming : an evolutionary approach,000001382718,003 86a
"Whitten, Jeffrey L",Systems analysis & design methods,000001365223,003 86b
"Hillier, Frederick S",Introduction to operations research,000001388064,003 86c
"Holden, Arun V.",Chaos,000001856770,003 86d
일본 Guide/Share,事例硏究 システム監査の實務,000000379305,003 86가
구화본 具和本,PETRI NET을 이용한 신규예입업무절차 모델링에 관한 연구,000000538401,003 87
"Smith, Jon M.",Mathematical modeling and digital simulation for engineers and scientists,000001390688,003 87a
